pmid,title,year,journal,authors,grants
28934329,Biochemical and biomechanical properties of the pacemaking sinoatrial node extracellular matrix are distinct from contractile left ventricular matrix.,2017,PloS one,Gluck JM; Herren AW; Yechikov S; Kao HKJ; Khan A,T32 HL086350; R01 HL085727; I01 CX001490; R01 HL137228; I01 BX000576; R01 HL085844
28925267,Absolute Quantification of Human Milk Caseins and the Whey/Casein Ratio during the First Year of Lactation.,2017,Journal of proteome research,Liao Y; Weber D; Xu W; Durbin-Johnson BP; Phinney BS,
28901724,Codeine influences the serum and urinary profile of endogenous androgens but does not interact with the excretion rate of administered testosterone.,2018,Drug testing and analysis,Lehtihet M; Andersson A; Börjesson A; Schulze J; Rane A,
28713781,"The Metalloprotease, Mpr1, Engages AnnexinA2 to Promote the Transcytosis of Fungal Cells across the Blood-Brain Barrier.",2017,Frontiers in cellular and infection microbiology,Na Pombejra S; Salemi M; Phinney BS; Gelli A,R21 AI122329; R21 NS081074
28648685,Proteomic profiling of Pachyonychia congenita plantar callus.,2017,Journal of proteomics,Rice RH; Durbin-Johnson BP; Salemi M; Schwartz ME; Rocke DM,UL1 TR001860
28544375,Proteomic analysis of hair shafts from monozygotic twins: Expression profiles and genetically variant peptides.,2017,Proteomics,Wu PW; Mason KE; Durbin-Johnson BP; Salemi M; Phinney BS,UL1 TR000002
28542481,Effect of hyperbaric oxygen on BDNF-release and neuroprotection: Investigations with human mesenchymal stem cells and genetically modified NIH3T3 fibroblasts as putative cell therapeutics.,2017,PloS one,Schulze J; Kaiser O; Paasche G; Lamm H; Pich A,
28049629,Integrated Metabolomics and Proteomics Highlight Altered Nicotinamide- and Polyamine Pathways in Lung Adenocarcinoma.,2017,Carcinogenesis,Fahrmann JF; Grapov DD; Wanichthanarak K; DeFelice BC; Salemi MR,U01 CA086137; U01 CA111295; U24 DK097154
27990823,ABRF Proteome Informatics Research Group (iPRG) 2015 Study: Detection of Differentially Abundant Proteins in Label-Free Quantitative LC-MS/MS Experiments.,2017,Journal of proteome research,Choi M; Eren-Dogu ZF; Colangelo C; Cottrell J; Hoopmann MR,S10 RR027990; P30 NS050276; R01 GM087221; P50 GM076547
27979737,In vivo digestomics of milk proteins in human milk and infant formula using a suckling rat pup model.,2017,Peptides,Wada Y; Phinney BS; Weber D; Lönnerdal B,
27799870,"Proteomic profiling of lung adenocarcinoma indicates heightened DNA repair, antioxidant mechanisms and identifies LASP1 as a potential negative predictor of survival.",2016,Clinical proteomics,Fahrmann JF; Grapov D; Phinney BS; Stroble C; DeFelice BC,P30 CA093373; U01 CA111295; U24 DK097154
27758048,Urinary steroid profile in females - the impact of menstrual cycle and emergency contraceptives.,2017,Drug testing and analysis,Mullen JE; Thörngren JO; Schulze JJ; Ericsson M; Gårevik N,
27500424,Glycoproteomic Analysis of Malignant Ovarian Cancer Ascites Fluid Identifies Unusual Glycopeptides.,2016,Journal of proteome research,Miyamoto S; Ruhaak LR; Stroble C; Salemi MR; Phinney B,R01 GM049077
